iter	Passed	Remaining
0	2	274
1	5	273
2	11	361
3	13	312
4	17	328
5	22	351
6	27	362
7	29	341
8	32	324
9	34	308
10	38	312
11	43	316
12	50	336
13	57	351
14	59	336
15	61	321
16	62	307
17	64	294
18	66	283
19	68	272
20	72	271
21	74	262
22	76	256
23	80	253
24	83	250
25	87	248
26	88	240
27	90	233
28	92	225
29	93	219
30	95	212
31	96	206
32	100	203
33	102	199
34	103	193
35	108	192
36	113	193
37	116	189
38	117	184
39	119	178
40	121	175
41	124	171
42	128	170
43	130	165
44	132	162
45	137	161
46	143	161
47	145	157
48	146	152
49	148	148
50	150	144
51	151	139
52	153	135
53	156	133
54	158	129
55	160	125
56	164	124
57	169	122
58	173	120
59	174	116
60	176	112
61	178	109
62	179	105
63	181	101
64	183	98
65	187	96
66	189	93
67	199	93
68	203	91
69	205	88
70	206	84
71	208	81
72	210	77
73	211	74
74	213	71
75	217	68
76	219	65
77	224	63
78	227	60
79	231	57
80	234	55
81	236	51
82	237	48
83	239	45
84	240	42
85	242	39
86	245	36
87	249	34
88	253	31
89	260	28
90	264	26
91	266	23
92	268	20
93	270	17
94	272	14
95	274	11
96	279	8
97	281	5
98	289	2
99	293	0
