iter	Passed	Remaining
0	157	157264
1	162	81120
2	164	54817
3	176	43847
4	177	35376
5	179	29763
6	183	25997
7	184	22922
8	186	20526
9	188	18633
10	189	17076
11	200	16542
12	202	15397
13	204	14392
14	208	13688
15	211	12976
16	212	12288
17	213	11671
18	215	11119
19	216	10621
20	218	10191
21	222	9871
22	228	9692
23	229	9346
24	231	9038
25	233	8740
26	239	8638
27	241	8371
28	242	8121
29	243	7888
30	245	7683
31	247	7483
32	251	7359
33	257	7319
34	259	7163
35	262	7033
36	265	6922
37	267	6777
38	269	6635
39	270	6500
40	272	6377
41	274	6261
42	278	6187
43	284	6173
44	286	6077
45	288	5979
46	289	5877
47	293	5822
48	295	5733
49	297	5649
50	299	5569
51	300	5485
52	306	5473
53	311	5457
54	314	5397
55	315	5322
56	317	5258
57	320	5204
58	322	5139
59	323	5072
60	325	5006
61	328	4976
62	335	4986
63	337	4932
64	343	4943
65	345	4889
66	348	4846
67	349	4793
68	352	4752
69	368	4900
70	380	4972
71	381	4923
72	384	4878
73	398	4991
74	407	5027
75	409	4984
76	411	4933
77	413	4884
78	414	4837
79	419	4820
80	427	4852
81	429	4812
82	431	4764
83	438	4781
84	440	4746
85	442	4703
86	444	4662
87	445	4619
88	449	4601
89	454	4600
90	456	4560
91	458	4521
92	459	4485
93	465	4490
94	467	4455
95	469	4417
96	470	4380
97	471	4343
98	473	4308
99	474	4273
100	484	4314
101	487	4289
102	489	4260
103	497	4283
104	498	4253
105	500	4224
106	503	4198
107	507	4190
108	514	4202
109	517	4190
110	522	4183
111	525	4162
112	527	4137
113	529	4116
114	541	4164
115	546	4160
116	552	4166
117	554	4146
118	556	4121
119	559	4101
120	563	4091
121	565	4066
122	571	4077
123	573	4052
124	575	4031
125	582	4042
126	584	4016
127	585	3991
128	587	3967
129	594	3979
130	602	3995
131	604	3972
132	606	3950
133	612	3960
134	616	3949
135	618	3931
136	621	3913
137	631	3946
138	633	3927
139	635	3905
140	641	3905
141	643	3886
142	645	3865
143	646	3844
144	649	3827
145	663	3881
146	665	3861
147	675	3889
148	677	3870
149	679	3850
150	681	3830
151	694	3876
152	704	3897
153	707	3884
154	709	3868
155	711	3849
156	720	3868
157	723	3856
158	726	3840
159	734	3856
160	736	3835
161	738	3817
162	755	3880
163	764	3897
164	768	3890
165	771	3876
166	775	3866
167	781	3872
168	783	3853
169	785	3836
170	797	3866
171	800	3852
172	816	3905
173	821	3900
174	826	3895
175	828	3877
176	829	3857
177	831	3838
178	832	3819
179	839	3825
180	844	3821
181	846	3804
182	848	3788
183	850	3772
184	852	3754
185	853	3735
186	855	3718
187	856	3700
188	859	3686
189	868	3703
190	870	3688
191	878	3697
192	880	3682
193	883	3671
194	885	3655
195	887	3639
196	893	3643
197	898	3638
198	903	3635
199	905	3623
200	910	3617
201	911	3601
202	916	3596
203	924	3606
204	926	3592
205	927	3576
206	931	3568
207	933	3554
208	935	3538
209	936	3523
210	938	3508
211	940	3496
212	946	3498
213	948	3482
214	949	3467
215	951	3454
216	956	3449
217	957	3435
218	959	3420
219	960	3405
220	962	3391
221	963	3377
222	967	3372
223	973	3371
224	974	3357
225	976	3343
226	977	3330
227	983	3329
228	985	3316
229	986	3302
230	987	3288
231	989	3275
232	990	3261
233	992	3248
234	995	3241
235	1000	3240
236	1003	3231
237	1005	3220
238	1012	3224
239	1015	3215
240	1017	3204
241	1020	3197
242	1022	3184
243	1032	3198
244	1035	3190
245	1037	3179
246	1044	3184
247	1046	3174
248	1049	3164
249	1051	3153
250	1053	3142
251	1059	3146
252	1063	3141
253	1069	3141
254	1072	3133
255	1074	3122
256	1076	3112
257	1092	3143
258	1096	3136
259	1102	3137
260	1109	3140
261	1122	3163
262	1125	3152
263	1130	3152
264	1133	3145
265	1135	3134
266	1137	3124
267	1139	3113
268	1143	3107
269	1147	3103
270	1151	3098
271	1154	3089
272	1161	3093
273	1164	3084
274	1166	3076
275	1169	3067
276	1173	3063
277	1184	3075
278	1186	3065
279	1188	3057
280	1191	3048
281	1193	3038
282	1196	3030
283	1205	3040
284	1208	3031
285	1219	3045
286	1222	3037
287	1225	3028
288	1229	3023
289	1233	3020
290	1236	3012
291	1238	3002
292	1241	2994
293	1242	2984
294	1244	2974
295	1246	2963
296	1251	2961
297	1257	2962
298	1260	2954
299	1267	2956
300	1273	2956
301	1275	2949
302	1285	2957
303	1290	2953
304	1297	2957
305	1300	2948
306	1303	2942
307	1305	2933
308	1315	2941
309	1318	2933
310	1320	2925
311	1322	2915
312	1325	2910
313	1327	2900
314	1329	2890
315	1331	2881
316	1332	2871
317	1339	2872
318	1344	2870
319	1347	2862
320	1353	2861
321	1354	2852
322	1356	2842
323	1357	2832
324	1359	2823
325	1361	2814
326	1362	2804
327	1367	2802
328	1373	2802
329	1375	2792
330	1382	2793
331	1383	2784
332	1385	2774
333	1387	2765
334	1388	2756
335	1389	2746
336	1391	2737
337	1397	2736
338	1402	2734
339	1404	2725
340	1405	2716
341	1411	2714
342	1412	2706
343	1414	2697
344	1417	2690
345	1418	2681
346	1420	2672
347	1426	2672
348	1434	2675
349	1441	2677
350	1445	2673
351	1447	2665
352	1450	2658
353	1461	2667
354	1464	2661
355	1472	2663
356	1474	2655
357	1476	2648
358	1478	2640
359	1480	2632
360	1482	2623
361	1484	2616
362	1491	2616
363	1492	2607
364	1494	2599
365	1495	2591
366	1502	2591
367	1503	2582
368	1505	2574
369	1507	2566
370	1508	2557
371	1510	2549
372	1511	2541
373	1518	2541
374	1522	2536
375	1523	2528
376	1525	2520
377	1531	2519
378	1532	2511
379	1534	2503
380	1536	2495
381	1537	2487
382	1539	2479
383	1540	2471
384	1553	2481
385	1558	2478
386	1561	2472
387	1562	2464
388	1566	2461
389	1573	2461
390	1577	2456
391	1583	2455
392	1585	2448
393	1587	2441
394	1588	2433
395	1590	2425
396	1591	2417
397	1600	2420
398	1603	2416
399	1606	2410
400	1613	2409
401	1614	2402
402	1616	2394
403	1618	2387
404	1619	2379
405	1621	2372
406	1633	2379
407	1635	2372
408	1643	2375
409	1645	2368
410	1647	2361
411	1649	2354
412	1651	2346
413	1654	2342
414	1659	2338
415	1661	2332
416	1663	2325
417	1665	2318
418	1669	2314
419	1673	2310
420	1674	2303
421	1676	2296
422	1678	2289
423	1679	2281
424	1681	2274
425	1687	2274
426	1690	2268
427	1692	2261
428	1693	2254
429	1697	2249
430	1700	2245
431	1702	2238
432	1704	2231
433	1705	2224
434	1707	2218
435	1709	2211
436	1712	2206
437	1720	2207
438	1722	2200
439	1723	2194
440	1730	2193
441	1732	2187
442	1735	2181
443	1737	2175
444	1738	2168
445	1742	2164
446	1750	2165
447	1752	2158
448	1753	2152
449	1759	2150
450	1761	2143
451	1763	2137
452	1765	2131
453	1766	2124
454	1768	2117
455	1770	2111
456	1778	2113
457	1780	2106
458	1781	2100
459	1783	2093
460	1788	2090
461	1789	2084
462	1791	2077
463	1793	2071
464	1794	2064
465	1799	2061
466	1806	2062
467	1808	2056
468	1813	2053
469	1819	2051
470	1820	2045
471	1824	2041
472	1835	2045
473	1839	2040
474	1846	2041
